,text,label,prediction
5,"[CLS]The genomic aberrations found in matasteses are very similar to those found in the primary tumor.[SEP]Evolution of metastasis revealed by mutational landscapes of chemically induced skin cancers. Human tumors show a high level of genetic heterogeneity, but the processes that influence the timing and route of metastatic dissemination of the subclones are unknown. Here we have used whole-exome sequencing of 103 matched benign, malignant and metastatic skin tumors from genetically heterogeneous mice to demonstrate that most metastases disseminate synchronously from the primary tumor, supporting parallel rather than linear evolution as the predominant model of metastasis. Shared mutations between primary carcinomas and their matched metastases have the distinct A-to-T signature of the initiating carcinogen dimethylbenzanthracene, but non-shared mutations are primarily G-to-T, a signature associated with oxidative stress. The existence of carcinomas that either did or did not metastasize in the same host animal suggests that there are tumor-intrinsic factors that influence metastatic seeding. We also demonstrate the importance of germline polymorphisms in determining allele-specific mutations, and we identify somatic genetic alterations that are specifically related to initiation of carcinogenesis by Hras or Kras mutations. Mouse tumors that mimic the genetic heterogeneity of human cancers can aid our understanding of the clonal evolution of metastasis and provide a realistic model for the testing of novel therapies.[SEP]",2,1
18,"[CLS]Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.[SEP]Reversal of the cellular phenotype in the premature aging disease Hutchinson-Gilford progeria syndrome. Hutchinson-Gilford progeria syndrome (HGPS) is a childhood premature aging disease caused by a spontaneous point mutation in lamin A (encoded by LMNA), one of the major architectural elements of the mammalian cell nucleus. The HGPS mutation activates an aberrant cryptic splice site in LMNA pre-mRNA, leading to synthesis of a truncated lamin A protein and concomitant reduction in wild-type lamin A. Fibroblasts from individuals with HGPS have severe morphological abnormalities in nuclear envelope structure. Here we show that the cellular disease phenotype is reversible in cells from individuals with HGPS. Introduction of wild-type lamin A protein does not rescue the cellular disease symptoms. The mutant LMNA mRNA and lamin A protein can be efficiently eliminated by correction of the aberrant splicing event using a modified oligonucleotide targeted to the activated cryptic splice site. Upon splicing correction, HGPS fibroblasts assume normal nuclear morphology, the aberrant nuclear distribution and cellular levels of lamina-associated proteins are rescued, defects in heterochromatin-specific histone modifications are corrected and proper expression of several misregulated genes is reestablished. Our results establish proof of principle for the correction of the premature aging phenotype in individuals with HGPS.[SEP]",2,0
24,"[CLS]High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).[SEP]Diagnostic accuracy of single baseline measurement of Elecsys Troponin T high-sensitive assay for diagnosis of acute myocardial infarction in emergency department: systematic review and meta-analysis. OBJECTIVE To obtain summary estimates of the accuracy of a single baseline measurement of the Elecsys Troponin T high-sensitive assay (Roche Diagnostics) for the diagnosis of acute myocardial infarction in patients presenting to the emergency department. DESIGN Systematic review and meta-analysis of diagnostic test accuracy studies. DATA SOURCES Medline, Embase, and other relevant electronic databases were searched for papers published between January 2006 and December 2013. STUDY SELECTION Studies were included if they evaluated the diagnostic accuracy of a single baseline measurement of Elecsys Troponin T high-sensitive assay for the diagnosis of acute myocardial infarction in patients presenting to the emergency department with suspected acute coronary syndrome. STUDY APPRAISAL AND DATA SYNTHESIS The first author screened all titles and abstracts identified through the searches and selected all potentially relevant papers. The screening of the full texts, the data extraction, and the methodological quality assessment, using the adapted QUADAS-2 tool, were conducted independently by two reviewers with disagreements being resolved through discussion or arbitration. If appropriate, meta-analysis was conducted using the hierarchical bivariate model. RESULTS Twenty three studies reported the performance of the evaluated assay at presentation. The results for 14 ng/L and 3-5 ng/L cut-off values were pooled separately. At 14 ng/L (20 papers), the summary sensitivity was 89.5% (95% confidence interval 86.3% to 92.1%) and the summary specificity was 77.1% (68.7% to 83.7%). At 3-5 ng/L (six papers), the summary sensitivity was 97.4% (94.9% to 98.7%) and the summary specificity was 42.4% (31.2% to 54.5%). This means that if 21 of 100 consecutive patients have the target condition (21%, the median prevalence across the studies), 2 (95% confidence interval 2 to 3) of 21 patients with acute myocardial infarction will be missed (false negatives) if 14 ng/L is used as a cut-off value and 18 (13 to 25) of 79 patients without acute myocardial infarction will test positive (false positives). If the 3-5 ng/L cut-off value is used, <1 (0 to 1) patient with acute myocardial infarction will be missed and 46 (36 to 54) patients without acute myocardial infarction will test positive. CONCLUSIONS The results indicate that a single baseline measurement of the Elecsys Troponin T high-sensitive assay could be used to rule out acute myocardial infarction if lower cut-off values such as 3 ng/L or 5 ng/L are used. However, this method should be part of a comprehensive triage strategy and may not be appropriate for patients who present less than three hours after symptom onset. Care must also be exercised because of the higher imprecision of the evaluated assay and the greater effect of lot-to-lot reagent variation at low troponin concentrations. SYSTEMATIC REVIEW REGISTRATION PROSPERO registration number CRD42013003926.[SEP]",1,0
52,"[CLS]The most prevalent adverse events to Semaglutide are cardiovascular.[SEP]Effect of Oral Semaglutide Compared With Placebo and Subcutaneous Semaglutide on Glycemic Control in Patients With Type 2 Diabetes: A Randomized Clinical Trial. Importance Glucagon-like peptide-1 (GLP-1) receptor agonists are effective therapies for the treatment of type 2 diabetes and are all currently available as an injection. Objectives To compare the effects of oral semaglutide with placebo (primary) and open-label subcutaneous semaglutide (secondary) on glycemic control in patients with type 2 diabetes. Design, Setting, and Patients Phase 2, randomized, parallel-group, dosage-finding, 26-week trial with 5-week follow-up at 100 sites (hospital clinics, general practices, and clinical research centers) in 14 countries conducted between December 2013 and December 2014. Of 1106 participants assessed, 632 with type 2 diabetes and insufficient glycemic control using diet and exercise alone or a stable dose of metformin were randomized. Randomization was stratified by metformin use. Interventions Once-daily oral semaglutide of 2.5 mg (n = 70), 5 mg (n = 70), 10 mg (n = 70), 20 mg (n = 70), 40-mg 4-week dose escalation (standard escalation; n = 71), 40-mg 8-week dose escalation (slow escalation; n = 70), 40-mg 2-week dose escalation (fast escalation, n = 70), oral placebo (n = 71; double-blind) or once-weekly subcutaneous semaglutide of 1.0 mg (n = 70) for 26 weeks. Main Outcomes and Measures The primary end point was change in hemoglobing A1c (HbA1c) from baseline to week 26. Secondary end points included change from baseline in body weight and adverse events. Results Baseline characteristics were comparable across treatment groups. Of the 632 randomized patients (mean age, 57.1 years [SD, 10.6]; men, 395 (62.7%); diabetes duration, 6.3 years [SD, 5.2]; body weight, 92.3 kg [SD, 16.8]; BMI, 31.7 [SD, 4.3]), 583 (92%) completed the trial. Mean change in HbA1c level from baseline to week 26 decreased with oral semaglutide (dosage-dependent range, −0.7% to −1.9%) and subcutaneous semaglutide (−1.9%) and placebo (−0.3%); oral semaglutide reductions were significant vs placebo (dosage-dependent estimated treatment difference [ETD] range for oral semaglutide vs placebo, –0.4% to –1.6%; P = .01 for 2.5 mg, <.001 for all other dosages). Reductions in body weight were greater with oral semaglutide (dosage-dependent range, −2.1 kg to −6.9 kg) and subcutaneous semaglutide (−6.4 kg) vs placebo (−1.2 kg), and significant for oral semaglutide dosages of 10 mg or more vs placebo (dosage-dependent ETD range, –0.9 to –5.7 kg; P < .001). Adverse events were reported by 63% to 86% (371 of 490 patients) in the oral semaglutide groups, 81% (56 of 69 patients) in the subcutaneous semaglutide group, and 68% (48 of 71 patients) in the placebo group; mild to moderate gastrointestinal events were most common. Conclusions and Relevance Among patients with type 2 diabetes, oral semaglutide resulted in better glycemic control than placebo over 26 weeks. These findings support phase 3 studies to assess longer-term and clinical outcomes, as well as safety. Trial Registration clinicaltrials.gov Identifier: NCT01923181[SEP]",2,0
62,"[CLS]The most prevalent adverse events to Semaglutide are gastrointestinal.[SEP]Effect of Oral Semaglutide Compared With Placebo and Subcutaneous Semaglutide on Glycemic Control in Patients With Type 2 Diabetes: A Randomized Clinical Trial. Importance Glucagon-like peptide-1 (GLP-1) receptor agonists are effective therapies for the treatment of type 2 diabetes and are all currently available as an injection. Objectives To compare the effects of oral semaglutide with placebo (primary) and open-label subcutaneous semaglutide (secondary) on glycemic control in patients with type 2 diabetes. Design, Setting, and Patients Phase 2, randomized, parallel-group, dosage-finding, 26-week trial with 5-week follow-up at 100 sites (hospital clinics, general practices, and clinical research centers) in 14 countries conducted between December 2013 and December 2014. Of 1106 participants assessed, 632 with type 2 diabetes and insufficient glycemic control using diet and exercise alone or a stable dose of metformin were randomized. Randomization was stratified by metformin use. Interventions Once-daily oral semaglutide of 2.5 mg (n = 70), 5 mg (n = 70), 10 mg (n = 70), 20 mg (n = 70), 40-mg 4-week dose escalation (standard escalation; n = 71), 40-mg 8-week dose escalation (slow escalation; n = 70), 40-mg 2-week dose escalation (fast escalation, n = 70), oral placebo (n = 71; double-blind) or once-weekly subcutaneous semaglutide of 1.0 mg (n = 70) for 26 weeks. Main Outcomes and Measures The primary end point was change in hemoglobing A1c (HbA1c) from baseline to week 26. Secondary end points included change from baseline in body weight and adverse events. Results Baseline characteristics were comparable across treatment groups. Of the 632 randomized patients (mean age, 57.1 years [SD, 10.6]; men, 395 (62.7%); diabetes duration, 6.3 years [SD, 5.2]; body weight, 92.3 kg [SD, 16.8]; BMI, 31.7 [SD, 4.3]), 583 (92%) completed the trial. Mean change in HbA1c level from baseline to week 26 decreased with oral semaglutide (dosage-dependent range, −0.7% to −1.9%) and subcutaneous semaglutide (−1.9%) and placebo (−0.3%); oral semaglutide reductions were significant vs placebo (dosage-dependent estimated treatment difference [ETD] range for oral semaglutide vs placebo, –0.4% to –1.6%; P = .01 for 2.5 mg, <.001 for all other dosages). Reductions in body weight were greater with oral semaglutide (dosage-dependent range, −2.1 kg to −6.9 kg) and subcutaneous semaglutide (−6.4 kg) vs placebo (−1.2 kg), and significant for oral semaglutide dosages of 10 mg or more vs placebo (dosage-dependent ETD range, –0.9 to –5.7 kg; P < .001). Adverse events were reported by 63% to 86% (371 of 490 patients) in the oral semaglutide groups, 81% (56 of 69 patients) in the subcutaneous semaglutide group, and 68% (48 of 71 patients) in the placebo group; mild to moderate gastrointestinal events were most common. Conclusions and Relevance Among patients with type 2 diabetes, oral semaglutide resulted in better glycemic control than placebo over 26 weeks. These findings support phase 3 studies to assess longer-term and clinical outcomes, as well as safety. Trial Registration clinicaltrials.gov Identifier: NCT01923181[SEP]",1,0
75,"[CLS]Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.[SEP]Loss of the RhoGAP SRGP-1 promotes the clearance of dead and injured cells in Caenorhabditis elegans. Multicellular animals rapidly clear dying cells from their bodies. Many of the pathways that mediate this cell removal are conserved through evolution. Here, we identify srgp-1 as a negative regulator of cell clearance in both Caenorhabditis elegans and mammalian cells. Loss of srgp-1 function results in improved engulfment of apoptotic cells, whereas srgp-1 overexpression inhibits apoptotic cell corpse removal. We show that SRGP-1 functions in engulfing cells and functions as a GTPase activating protein (GAP) for CED-10 (Rac1). Interestingly, loss of srgp-1 function promotes not only the clearance of already dead cells, but also the removal of cells that have been brought to the verge of death through sublethal apoptotic, necrotic or cytotoxic insults. In contrast, impaired engulfment allows damaged cells to escape clearance, which results in increased long-term survival. We propose that C. elegans uses the engulfment machinery as part of a primitive, but evolutionarily conserved, survey mechanism that identifies and removes unfit cells within a tissue.[SEP]",1,0
76,"[CLS]Alteration of origin firing causes changes in termination zones of Okazaki fragments.[SEP]Quantitative, genome-wide analysis of eukaryotic replication initiation and termination. Many fundamental aspects of DNA replication, such as the exact locations where DNA synthesis is initiated and terminated, how frequently origins are used, and how fork progression is influenced by transcription, are poorly understood. Via the deep sequencing of Okazaki fragments, we comprehensively document replication fork directionality throughout the S. cerevisiae genome, which permits the systematic analysis of initiation, origin efficiency, fork progression, and termination. We show that leading-strand initiation preferentially occurs within a nucleosome-free region at replication origins. Using a strain in which late origins can be induced to fire early, we show that replication termination is a largely passive phenomenon that does not rely on cis-acting sequences or replication fork pausing. The replication profile is predominantly determined by the kinetics of origin firing, allowing us to reconstruct chromosome-wide timing profiles from an asynchronous culture.[SEP]",2,1
83,"[CLS]Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.[SEP]Tissue Mechanics Orchestrate Wnt-Dependent Human Embryonic Stem Cell Differentiation. Regenerative medicine is predicated on understanding the mechanisms regulating development and applying these conditions to direct stem cell fate. Embryogenesis is guided by cell-cell and cell-matrix interactions, but it is unclear how these physical cues influence stem cells in culture. We used human embryonic stem cells (hESCs) to examine whether mechanical features of the extracellular microenvironment could differentially modulate mesoderm specification. We found that, on a hydrogel-based compliant matrix, hESCs accumulate β-catenin at cell-cell adhesions and show enhanced Wnt-dependent mesoderm differentiation. Mechanistically, Src-driven ubiquitination of E-cadherin by Cbl-like ubiquitin ligase releases P120-catenin to facilitate transcriptional activity of β-catenin, which initiates and reinforces mesoderm differentiation. By contrast, on a stiff hydrogel matrix, hESCs show elevated integrin-dependent GSK3 and Src activity that promotes β-catenin degradation and inhibits differentiation. Thus, we found that mechanical features of the microenvironmental matrix influence tissue-specific differentiation of hESCs by altering the cellular response to morphogens.[SEP]",2,1
85,"[CLS]UCB T cells maintain high TCR diversity after transplantation.[SEP]Quantitative assessment of T-cell repertoire recovery after hematopoietic stem cell transplantation. Delayed T cell recovery and restricted T cell receptor (TCR) diversity after allogeneic hematopoietic stem cell transplantation (allo-HSCT) are associated with increased risks of infection and cancer relapse. Technical challenges have limited faithful measurement of TCR diversity after allo-HSCT. Here we combined 5' rapid amplification of complementary DNA ends PCR with deep sequencing to quantify TCR diversity in 28 recipients of allo-HSCT using a single oligonucleotide pair. Analysis of duplicate blood samples confirmed that we accurately determined the frequency of individual TCRs. After 6 months, cord blood-graft recipients approximated the TCR diversity of healthy individuals, whereas recipients of T cell-depleted peripheral-blood stem cell grafts had 28-fold and 14-fold lower CD4(+) and CD8(+) T cell diversities, respectively. After 12 months, these deficiencies had improved for the CD4(+) but not the CD8(+) T cell compartment. Overall, this method provides unprecedented views of T cell repertoire recovery after allo-HSCT and may identify patients at high risk of infection or relapse.[SEP]",1,2
86,"[CLS]Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.[SEP]Antibodies from patients with rheumatoid arthritis target citrullinated histone 4 contained in neutrophils extracellular traps. BACKGROUND Histone deimination regulates gene function and contributes to antimicrobial response, allowing the formation of neutrophil extracellular traps (NETs). Deiminated proteins are target of anti-citrullinated peptides antibodies (ACPA) in rheumatoid arthritis (RA). OBJECTIVE The objective of this paper is to test the hypothesis that RA sera react with deiminated histones contained in NETs. METHODS Neutrophils from peripheral blood were stimulated with A23187 and acid treated; NETosis was induced by phorbol myristate acetate, and NET proteins were isolated. Sera were tested by immunoblot on acid extracted proteins from neutrophils and from NETs, and by ELISA on deiminated histone H4 or H4-derived peptides. Bands reactive with RA sera were excised from gels, digested with trypsin and subjected to matrix-assisted laser desorption/ionisation time of flight (MALDI-TOF) analysis, before and after derivatisation to detect citrullinated peptides. RESULTS RA sera reacted with a deiminated antigen of 11 KDa from activated neutrophils, recognised also by anti-H4 and antideiminated H4 antibodies. A similar reactivity was observed with NET proteins. The antigen from neutrophils or NETs was identified as citrullinated H4 by MALDI-TOF analysis. By ELISA, RA sera bound in vitro citrullinated H4. Citrullinated H4 14-34 and 31-50 peptides detected antibodies in 67% and 63% of RA sera and in less than 5% of controls; antibody titre was correlated with anti-CCP2. CONCLUSIONS Citrullinated H4 from activated neutrophils and NETs is a target of antibodies in RA, and synthetic citrullinated H4-derived peptides are a new substrate for ACPA detection. As NETosis can generate antigens for ACPA, these data suggest a novel connection between innate and adaptive immunity in RA.[SEP]",2,1
